CUSTCYCLE.TXT	UDDS+HWY+UDDS+US06
Test Time, secs Target Speed, mph
0 0.0
515	7.7
516	9.6
517	11.1
518	12.4
519	13.8
520	15.6
521	17.3
522	18.6
523	19.2
524	20.3
525	22.0
526	23.2
527	23.9
528	24.4
529	25.1
530	25.3
531	25.3
532	25.2
533	25.2
534	25.1
535	25.1
536	25.4
537	25.6
538	25.7
539	25.6
540	25.4
541	25.2
542	25.2
543	25.2
544	24.7
545	21.2
546	18.0
547	15.2
548	12.1
549	9.1
550	5.4
551	2.0
552	0.0
553	0.0
554	0.0
555	0.0
556	0.0
557	0.0
558	0.0
559	0.0
560	0.0
561	0.0
562	0.0
563	0.0
564	0.0
565	0.0
566	0.0
567	0.0
568	0.0
569	3.5
570	6.2
571	9.4
572	13.0
573	15.2
574	16.1
575	16.8
576	17.1
577	17.0
578	17.1
579	17.5
580	17.6
581	17.5
582	17.3
583	17.1
584	17.1
585	17.3
586	17.4
587	17.2
588	16.9
589	16.6
590	16.5
591	16.6
592	16.8
593	17.2
594	18.0
595	19.1
596	19.9
597	20.6
598	21.0
599	21.2
600	21.5
601	21.8
602	22.1
603	22.2
604	22.3
605	22.3
606	22.4
607	23.8
608	25.5
609	26.0
610	26.3
611	26.6
612	25.7
613	22.3
614	19.9
615	16.5
616	13.1
617	9.9
618	6.5
619	3.0
620	0.1
621	0.0
622	0.0
623	0.0
624	0.0
625	0.0
626	0.0
627	0.0
628	0.0
629	0.0
630	0.0
631	0.0
632	0.0
633	0.0
634	0.0
635	0.0
636	0.0
637	0.0
638	0.0
639	0.0
640	0.0
641	0.0
642	0.0
643	0.0
644	0.0
645	0.0
646	2.9
647	5.0
648	6.8
649	9.6
650	12.3
651	14.1
652	15.4
653	17.2
654	19.4
655	21.0
656	22.3
657	23.1
658	24.1
659	25.1
660	25.4
661	25.8
662	27.4
663	27.3
664	26.9
665	26.6
666	26.5
667	26.3
668	26.0
669	24.9
670	22.2
671	20.1
672	18.0
673	16.0
674	13.9
675	11.2
676	8.4
677	6.0
678	3.4
679	2.2
680	0.7
681	0.0
682	0.0
683	0.0
684	0.0
685	0.0
686	0.0
687	0.0
688	0.0
689	0.0
690	0.0
691	0.0
692	0.0
693	0.0
694	1.0
695	3.3
696	4.0
697	5.9
698	8.4
699	10.8
700	13.2
701	14.5
702	16.6
703	17.0
704	16.8
705	16.7
706	18.2
707	19.8
708	20.3
709	21.1
710	22.1
711	22.5
712	22.3
713	22.3
714	23.4
715	23.9
716	23.4
717	21.7
718	20.3
719	17.6
720	14.8
721	11.4
722	8.4
723	5.7
724	4.0
725	3.0
726	2.3
727	0.4
728	1.0
729	4.9
730	7.2
731	10.1
732	12.5
733	13.8
734	15.7
735	17.8
736	19.6
737	21.3
738	23.2
739	24.5
740	25.5
741	26.6
742	27.1
743	27.4
744	27.7
745	28.0
746	28.4
747	28.5
748	28.5
749	28.4
750	28.2
751	27.6
752	26.5
753	24.7
754	22.6
755	20.9
756	18.8
757	16.4
758	14.0
759	11.5
760	8.1
761	4.5
762	2.8
763	2.6
764	1.4
765	0.4
766	0.2
767	4.3
768	5.8
769	9.2
770	12.8
771	16.2
772	17.9
773	18.6
774	19.4
775	20.4
776	21.9
777	23.6
778	25.1
779	26.4
780	26.9
781	27.3
782	27.9
783	28.6
784	28.8
785	28.9
786	29.0
787	28.9
788	28.8
789	28.6
790	28.5
791	28.2
792	27.8
793	27.5
794	27.4
795	27.3
796	27.3
797	27.3
798	27.4
799	27.5
800	27.7
801	28.4
802	30.5
803	31.4
804	31.9
805	32.7
806	33.1
807	33.5
808	34.0
809	34.4
810	34.3
811	34.2
812	34.1
813	33.9
814	33.7
815	33.4
816	33.2
817	32.8
818	32.4
819	32.0
820	31.6
