"Time (seconds)","Speed (mph)"
4062,0
4063,0
4064,0
4065,0
4066,0
4067,0
4068,0
4069,0
4070,0
4071,0
4072,0
4073,0
4074,0
4075,0
4076,0
4077,0
4078,0
4079,0
4080,0
4081,0
4082,0
4083,0
4084,0
4085,0
4086,0
4087,0
4088,0
4089,0
4090,0
4091,0
4092,0
4093,0
4094,0
4095,0
4096,0
4097,0
4098,0
4099,0
4100,0
4101,0
4102,0
4103,0
4104,0
4105,0
4106,0
4107,0
4108,0
4109,0
4110,0
4111,0
4112,0
4113,0
4114,0
4115,0
4116,0
4117,0
4118,0
4119,0
4120,0
4121,0
4122,0
4123,0
4124,0
4125,0
4126,0
4127,0
4128,0
4129,0
4130,0
4131,0
4132,0
4133,0
4134,0
4135,0
4136,0
4137,0
4138,0
4139,0
4140,0
4141,0
4142,0
4143,0
4144,0
4145,0
4146,0
4147,0
4148,0
4149,0
4150,0
4151,0
4152,0
4153,0
4154,0
4155,0
4156,0
4157,0
4158,0
4159,0
4160,0
4161,0
4162,0
4163,0
4164,0
4165,0
4166,0
4167,0
4168,0
4169,0
4170,0
4171,0
4172,0
4173,0
4174,0
4175,0
4176,0
4177,0
4178,0
4179,0
4180,0
4181,0
4182,0
4183,0
4184,0
4185,0
4186,0
4187,0
4188,0
4189,0
4190,0
4191,0
4192,0
4193,0
4194,0
4195,0
4196,0
4197,0
4198,0
4199,0
4200,0
4201,0
4202,0
4203,0
4204,0
4205,0
4206,0
4207,0
4208,0
4209,0
4210,0
4211,0
4212,0
4213,0
4214,0
4215,0
4216,2.08771031
4217,3.40706636
4218,4.566838146
4219,5.513686756
4220,6.370407017
4221,7.228983329
4222,8.096367769
4223,8.968404948
4224,9.894105399
4225,10.91530413
4226,11.95584182
4227,12.80629836
4228,13.22011103
4229,13.07409215
4230,12.48547201
4231,11.75628941
4232,11.19997175
4233,11.00516578
4234,11.19057617
4235,11.63929699
4236,12.18700474
4237,12.70938012
4238,13.14996675
4239,13.47216262
4240,13.58349679
4241,13.32342634
4242,12.57249372
4243,11.4012865
4244,10.09611212
4245,9.024760393
4246,8.448988444
4247,8.41060605
4248,8.771908715
4249,9.353158715
4250,10.02071684
4251,10.69352597
4252,11.32715623
4253,11.89329474
4254,12.36294747
4255,12.71185965
4256,12.93545061
4257,13.05053653
4258,13.07451742
4259,12.99486584
4260,12.77565732
4261,12.41887044
4262,12.00830857
4263,11.64837542
4264,11.32549119
4265,10.84615816
4266,9.952133092
4267,8.519439058
4268,6.666989397
4269,4.689658203
4270,2.890706031
4271,1.48261277
4272,0
4273,0
4274,0
4275,0
4276,0
4277,0
4278,0
4279,0
4280,0
4281,0
4282,0
4283,0
4284,0
4285,0
4286,0
4287,0
4288,0
4289,0
4290,0
4291,0
4292,0
4293,0
4294,0
4295,0
4296,0
4297,0
4298,0
4299,0
4300,0
4301,0
4302,0
4303,0
4304,0
4305,0
4306,0
4307,0
4308,0
4309,0
4310,0
4311,0
4312,0
4313,0
4314,0
4315,0
4316,0
4317,0
4318,0
4319,0
4320,0
4321,0
4322,0
4323,0
4324,0
4325,0
4326,0
4327,0
4328,0
4329,0
4330,0
4331,0
4332,0
4333,0
4334,0
4335,0
4336,0
4337,0
4338,0
4339,0
4340,0
4341,0
4342,0
4343,0
4344,0
4345,0
4346,0
4347,0
4348,0
4349,0
4350,0
4351,0
4352,0
4353,0
4354,0
4355,0
4356,0
4357,0
4358,0
4359,0
4360,0
4361,0
4362,0
4363,0
4364,0
4365,0
4366,0
4367,0
4368,0
4369,0
4370,0
4371,0
4372,0
4373,0
4374,0
4375,0
4376,1.908096924
4377,3.148641125
4378,4.162873361
4379,4.739625593
4380,4.913955543
4381,4.879881708
4382,4.872718797
4383,5.04052374
4384,5.386212158
4385,5.828334089
4386,6.292397054
4387,6.725496419
4388,7.065793283
4389,7.273723145
4390,7.398446103
4391,7.55740868
4392,7.824914144
4393,8.157035377
4394,8.462038458
4395,8.74975865
4396,9.15014288
4397,9.759138125
4398,10.52570481
4399,11.31253127
4400,12.02384533
4401,12.65662324
4402,13.24079247
4403,13.74539121
4404,14.073494
4405,14.16216094
4406,14.04569109
4407,13.77714588
4408,13.32570045
4409,12.62947626
4410,11.75153576
4411,10.93810652
4412,10.50519636
4413,10.63761562
4414,11.27146391
4415,12.18802827
4416,13.19810692
4417,14.19977929
4418,15.12858817
4419,15.93008644
4420,16.56279047
4421,17.00365281
4422,17.25448446
4423,17.35541754
4424,17.4148652
4425,17.60148112
4426,18.0505317
4427,18.76589123
4428,19.61872099
4429,20.44030244
4430,21.12730765
4431,21.67680838
4432,22.14558716
4433,22.58860468
4434,23.02043724
4435,23.42055838
4436,23.7695931
4437,24.07345552
4438,24.35825469
4439,24.65179531
4440,24.97140892
4441,25.32606945
4442,25.70511632
4443,26.03074858
4444,26.10860538
4445,25.63106713
4446,24.29705729
4447,22.05820685
4448,19.30318528
4449,16.75503761
4450,15.12374802
4451,14.74203782
4452,15.4053865
4453,16.56742879
4454,17.76273222
4455,18.86759196
4456,20.02724481
4457,21.41950038
4458,23.04952137
4459,24.71104655
4460,26.14885103
4461,27.24874448
4462,28.08305339
4463,28.83581863
4464,29.68958362
4465,30.71471069
4466,31.81337699
4467,32.77005726
4468,33.37246623
4469,33.50028861
4470,33.15943313
4471,32.49700887
4472,31.76579724
4473,31.2225404
4474,31.01338699
4475,31.10674811
4476,31.34355486
4477,31.57380237
4478,31.72724005
4479,31.7890321
4480,31.76174096
4481,31.64291051
4482,31.43112979
4483,31.11237031
4484,30.56850801
4485,29.55507586
4486,27.87840315
4487,25.56566389
4488,22.78821475
4489,19.66103533
4490,16.21356474
4491,12.58148025
4492,9.168544806
4493,6.522725656
4494,4.966081717
4495,4.346703404
4496,4.212271322
4497,4.22118757
4498,4.365799096
4499,4.850624593
4500,5.784403367
4501,6.965932385
4502,7.988028506
4503,8.591870059
4504,8.915404808
4505,9.369645124
4506,10.24971558
4507,11.46293079
4508,12.66218959
4509,13.62307751
4510,14.42720488
4511,15.31025402
4512,16.41030785
4513,17.65036371
4514,18.82617682
4515,19.79543498
4516,20.56103399
4517,21.1986052
4518,21.75623291
4519,22.21600534
4520,22.53768043
4521,22.73289365
4522,22.86225673
