"Time (seconds)","Speed (mph)"
1006,48.48409947
1007,49.40681222
1008,50.25733364
1009,50.90253267
1010,51.32484712
1011,51.60565488
1012,51.83836751
1013,52.02461403
1014,52.0619801
1015,51.84727295
1016,51.38372175
1017,50.80069499
1018,50.27496431
1019,49.91052979
1020,49.68808489
1021,49.51614258
1022,49.30432943
1023,49.02060965
1024,48.71912586
1025,48.4949871
1026,48.41087379
1027,48.4684654
1028,48.60313535
1029,48.69708391
1030,48.6407537
1031,48.40676525
1032,48.07429443
1033,47.78676886
1034,47.67245419
1035,47.77308454
1036,48.02402251
1037,48.306762
1038,48.52257557
1039,48.61912981
1040,48.58089879
1041,48.41509766
1042,48.13414934
1043,47.75014881
1044,47.28978713
1045,46.80394171
1046,46.34607759
1047,45.91330799
1048,45.39057582
1049,44.57613386
1050,43.31681652
1051,41.66828009
1052,39.92089007
1053,38.42574626
1054,37.37825288
1055,36.76982166
1056,36.50173956
1057,36.49348284
1058,36.70846389
1059,37.13331194
1060,37.72961577
1061,38.38128395
1062,38.90203392
1063,39.12164969
1064,39.0149142
1065,38.79572731
1066,38.83606666
1067,39.41061326
1068,40.50725412
1069,41.86024972
1070,43.13493083
1071,44.13396868
1072,44.89546456
1073,45.61235758
1074,46.45691802
1075,47.46318545
1076,48.53917911
1077,49.56243571
1078,50.45967913
1079,51.2174485
1080,51.85350784
1081,52.39411214
1082,52.86701567
1083,53.30525612
1084,53.74026379
1085,54.17399926
1086,54.56997582
1087,54.88216704
1088,55.09006627
1089,55.21645066
1090,55.30763497
1091,55.38709194
1092,55.46201869
1093,55.59055106
1094,55.87482945
1095,56.33461809
1096,56.83354597
1097,57.17104074
1098,57.22465716
1099,57.0205385
1100,56.69744164
1101,56.37717029
1102,56.0805735
1103,55.78373884
1104,55.49049735
1105,55.23638788
1106,55.07254371
1107,55.03166016
1108,55.08418457
1109,55.15829683
1110,55.22244768
1111,55.32329787
1112,55.52453334
1113,55.82563511
1114,56.1488437
1115,56.39669666
1116,56.53043318
1117,56.59131882
1118,56.63686593
1119,56.67841622
1120,56.68896868
1121,56.65038807
1122,56.59659505
1123,56.61680257
1124,56.79368234
1125,57.12563418
1126,57.51180432
1127,57.80765509
1128,57.89736537
1129,57.73265985
1130,57.33024658
1131,56.75586577
1132,56.10929002
1133,55.49410133
1134,54.97228818
1135,54.5466004
1136,54.20202021
1137,53.95608457
1138,53.83665946
1139,53.81289841
1140,53.78724528
1141,53.66650832
1142,53.43372361
1143,53.15779564
1144,52.92566325
1145,52.76262998
1146,52.64308594
1147,52.56345959
1148,52.55220075
1149,52.60957252
1150,52.68603458
1151,52.72722447
1152,52.70697731
1153,52.62161702
1154,52.4817177
1155,52.30237642
1156,52.09394741
1157,51.84544934
1158,51.45790248
1159,50.70929083
1160,49.3818042
1161,47.45456473
1162,45.15725772
1163,42.82485154
1164,40.6637786
1165,38.65270694
1166,36.6852038
1167,34.77448498
1168,33.08090239
1169,31.73792585
1170,30.6926273
1171,29.76993257
1172,28.8671174
1173,28.03414737
1174,27.38542364
1175,26.9678268
1176,26.72416888
1177,26.56814174
1178,26.45078172
1179,26.36707926
1180,26.34692941
1181,26.41683582
1182,26.54181827
1183,26.62847598
1184,26.58896194
1185,26.39795096
1186,26.10623396
1187,25.79839274
1188,25.53388939
1189,25.34864479
1190,25.30647821
1191,25.51300432
1192,26.07203578
1193,27.01818883
1194,28.23917422
1195,29.46428258
1196,30.39823614
1197,30.89511696
1198,31.01263195
1199,30.92857271
1200,30.81156587
1201,30.76094076
1202,30.82522135
1203,31.00700614
1204,31.23932234
1205,31.39479806
1206,31.34936268
1207,31.06182989
1208,30.5976516
1209,30.06956752
1210,29.55450102
1211,29.06300456
1212,28.57363084
1213,28.07850516
1214,27.59167585
1215,27.11356817
1216,26.56099505
1217,25.710625
1218,24.26208426
1219,22.04415132
1220,19.19178444
1221,16.11051072
1222,13.24422886
1223,10.83340007
1224,8.865561756
1225,7.229823056
1226,5.881411714
1227,4.864919782
1228,4.219169341
1229,3.897114025
1230,3.791160598
1231,3.795647554
1232,3.818875209
1233,3.76578497
1234,3.531284761
1235,3.024219099
