"Time (seconds)","Speed (mph)"
1729,61.72325213
1730,61.95798841
1731,62.19350495
1732,62.41936462
1733,62.61854222
1734,62.78021679
1735,62.9065381
1736,63.00412669
1737,63.0718599
1738,63.10387225
1739,63.10831056
1740,63.11305881
1741,63.14242764
1742,63.19820825
1743,63.26870391
1744,63.34324144
1745,63.41500571
1746,63.47810781
1747,63.52763733
1748,63.56570077
1749,63.60391737
1750,63.65367212
1751,63.71334322
1752,63.76970948
1753,63.81643149
1754,63.86480953
1755,63.91844577
1756,63.93664047
1757,63.85812415
1758,63.66941071
1759,63.40685351
1760,63.10444349
1761,62.78196111
1762,62.45440792
1763,62.14440251
1764,61.89579812
1765,61.72743816
1766,61.59074277
1767,61.4297043
1768,61.24676984
1769,61.0848502
1770,60.97598296
1771,60.90874709
1772,60.83515921
1773,60.71001639
1774,60.51819993
1775,60.26697545
1776,59.96728103
1777,59.63061518
1778,59.27523926
1779,58.91986334
1780,58.56711472
1781,58.20021868
1782,57.79977679
1783,57.36361043
1784,56.91046032
1785,56.46228911
1786,56.02483614
1787,55.59443255
1788,55.17967204
1789,54.79830601
1790,54.45728115
1791,54.15436837
1792,53.88907575
1793,53.66158889
1794,53.47473871
1795,53.33288603
1796,53.23129522
1797,53.15948591
1798,53.11345046
1799,53.10009591
1800,53.13851795
1801,53.2511874
1802,53.4434922
1803,53.69737462
1804,53.98990792
1805,54.30746007
1806,54.63924613
1807,54.97491368
1808,55.30755749
1809,55.62894787
1810,55.93031994
1811,56.20472883
1812,56.44864264
1813,56.67212548
1814,56.89285668
1815,57.1173216
1816,57.34110177
1817,57.55321766
1818,57.73749279
1819,57.88552089
1820,58.00488293
1821,58.11613241
1822,58.24455665
1823,58.39795108
1824,58.55482154
1825,58.69279634
1826,58.81659308
1827,58.94450376
1828,59.08494187
1829,59.22845058
1830,59.34774594
1831,59.42028867
1832,59.45394444
1833,59.46250209
1834,59.42969145
1835,59.32861962
1836,59.16198417
1837,58.97362572
1838,58.82936919
1839,58.77011434
1840,58.77845215
1841,58.80762097
1842,58.8314595
1843,58.84877842
1844,58.85482771
1845,58.83261097
1846,58.77619786
1847,58.7073402
1848,58.65878017
1849,58.64541841
1850,58.65052705
1851,58.63814558
1852,58.58039719
1853,58.46683396
1854,58.29700178
1855,58.08593645
1856,57.87311239
1857,57.7057183
1858,57.60208583
1859,57.5347833
1860,57.46043678
1861,57.36547729
1862,57.27560303
1863,57.22547886
1864,57.2241526
1865,57.24886509
1866,57.27495972
1867,57.30546922
1868,57.36117775
1869,57.45202509
1870,57.56480626
1871,57.66905861
1872,57.74402321
1873,57.80411598
1874,57.8766515
1875,57.96243164
1876,58.04096418
1877,58.10078305
1878,58.1518893
1879,58.21738804
1880,58.31271153
1881,58.4276659
1882,58.53527175
1883,58.62220878
1884,58.69673009
1885,58.76465971
1886,58.82267299
1887,58.87305484
1888,58.91171114
1889,58.90343099
1890,58.80477022
1891,58.62086449
1892,58.4158034
1893,58.26346494
1894,58.20030157
1895,58.2073888
1896,58.23356271
1897,58.25388015
1898,58.27953148
1899,58.30696138
1900,58.3120502
1901,58.28450137
1902,58.219518
1903,58.09607445
1904,57.88619123
1905,57.57660389
1906,57.19104463
1907,56.78655006
1908,56.41146577
1909,56.07828857
1910,55.77438291
1911,55.48553827
1912,55.21721831
1913,54.98812587
1914,54.80086124
1915,54.63984439
1916,54.49276954
1917,54.35759324
1918,54.2385952
1919,54.13854149
1920,54.04742746
1921,53.94555554
1922,53.82065418
1923,53.67685535
1924,53.52431867
1925,53.35280704
1926,53.11516956
1927,52.75031698
1928,52.21706299
1929,51.49452794
1930,50.58165225
1931,49.53121983
1932,48.47537603
1933,47.59932222
1934,47.06238677
1935,46.91212059
1936,47.08310425
1937,47.48195138
1938,48.0463762
1939,48.73616188
1940,49.49681443
1941,50.23016683
1942,50.81909151
1943,51.20661133
1944,51.43004912
1945,51.5652975
1946,51.66358346
1947,51.73901297
1948,51.78674409
1949,51.81105835
1950,51.83493652
1951,51.87103219
1952,51.90938035
1953,51.95413999
1954,52.02936948
1955,52.12553089
1956,52.19132876
1957,52.20255156
1958,52.20306693
1959,52.26661412
1960,52.42761835
1961,52.64145514
1962,52.8204144
1963,52.91571266
1964,52.94165051
1965,52.93083316
1966,52.90662162
1967,52.88477789
1968,52.87265951
1969,52.87436239
1970,52.88843052
1971,52.89934158
1972,52.89858834
1973,52.89559163
1974,52.88387329
1975,52.83253639
1976,52.72312855
1977,52.56714286
1978,52.39826213
1979,52.26044591
1980,52.17969511
1981,52.14732056
1982,52.14099557
1983,52.14071806
1984,52.12675805
1985,52.08591774
1986,52.01476795
1987,51.91183646
1988,51.76091797
1989,51.50735991
1990,51.06977179
1991,50.40321556
1992,49.55467814
1993,48.65762573
1994,47.86608526
1995,47.27589379
1996,46.89489717
1997,46.67596255
1998,46.5662736
1999,46.52628924
2000,46.52597028
2001,46.54674543
2002,46.58668474
2003,46.6566326
2004,46.7636438
2005,46.88947138
2006,46.99459048
2007,47.05262358
2008,47.0743664
2009,47.10229004
2010,47.18450945
2011,47.3401005
2012,47.54810245
2013,47.77365758
2014,47.99773868
2015,48.22616077
2016,48.47725731
2017,48.76061308
2018,49.0773273
2019,49.440477
2020,49.8742395
2021,50.38774908
2022,50.95482823
2023,51.51447417
2024,52.00264957
2025,52.39795218
2026,52.72075532
2027,52.97957159
2028,53.14007487
2029,53.16016166
2030,53.04478202
2031,52.86180612
2032,52.7127635
2033,52.67524065
2034,52.75579863
2035,52.90820376
2036,53.09360154
2037,53.30861863
2038,53.57450951
2039,53.91838152
2040,54.35241432
2041,54.84610561
2042,55.31455822
2043,55.66200718
2044,55.84575073
2045,55.89169788
2046,55.87095337
2047,55.8595738
2048,55.89157895
2049,55.95461077
2050,56.03253063
2051,56.12711891
2052,56.21489386
2053,56.18310495
2054,55.85692668
2055,55.13882993
2056,54.12568429
2057,53.085507
2058,52.29729661
2059,51.87624175
2060,51.74813645
2061,51.75984939
2062,51.75881144
2063,51.61429362
2064,51.26607881
2065,50.77664202
2066,50.30576213
2067,50.00330526
2068,49.90589146
2069,49.93717221
2070,49.99798578
2071,50.03957031
2072,50.0676219
2073,50.11061198
2074,50.20100522
2075,50.37026797
2076,50.62344581
2077,50.91124529
2078,51.1506379
2079,51.2748491
2080,51.2616315
2081,51.13492275
2082,50.9517234
2083,50.78592948
2084,50.71104957
2085,50.76211798
2086,50.90621413
2087,51.07429298
2088,51.21539423
2089,51.31186018
2090,51.36450893
2091,51.37526681
2092,51.35048404
2093,51.32246669
2094,51.33827195
2095,51.41803885
2096,51.54967605
2097,51.71544654
2098,51.90059565
2099,52.0856168
2100,52.24214489
2101,52.3468135
2102,52.40546468
2103,52.44546346
2104,52.48217
2105,52.51556269
2106,52.55662644
2107,52.62128906
2108,52.66664516
2109,52.56327579
2110,52.19783035
2111,51.60725505
2112,50.9859432
2113,50.56037615
2114,50.43412871
2115,50.54175438
2116,50.76147647
2117,51.00411086
2118,51.12387655
2119,50.84154791
2120,49.91470139
2121,48.40778158
2122,46.73408215
2123,45.397618
2124,44.66850208
2125,44.48580549
2126,44.64477527
2127,45.01230742
2128,45.53937337
2129,46.15130046
2130,46.71596494
2131,47.1068761
2132,47.25066232
2133,47.13944348
2134,46.8451262
2135,46.50804769
2136,46.27701991
2137,46.23202422
2138,46.33910749
2139,46.48907633
2140,46.59446574
2141,46.64351411
2142,46.67949986
2143,46.73175578
2144,46.72289359
2145,46.45996878
2146,45.77559809
2147,44.64805129
2148,43.1549167
2149,41.3783867
2150,39.3903751
2151,37.30413342
2152,35.33504993
2153,33.76080776
2154,32.75076875
2155,32.25683419
2156,32.08713356
2157,32.0380978
2158,31.97314325
2159,31.84192592
2160,31.64964274
2161,31.41649402
2162,31.17189186
2163,30.9683138
2164,30.8667284
2165,30.89680362
2166,31.05052781
2167,31.31356974
2168,31.68424456
2169,32.1596042
2170,32.68738915
2171,33.12846953
2172,33.31440069
2173,33.16879086
2174,32.75576928
2175,32.21091588
2176,31.62491403
2177,30.96932111
2178,30.14560971
2179,29.13339571
2180,28.06525513
2181,27.14487055
2182,26.52283069
2183,26.22583566
2184,26.12719651
2185,25.94612892
2186,25.33789411
2187,24.11831066
2188,22.46303839
2189,20.85190587
2190,19.76040609
2191,19.33959089
2192,19.36482776
2193,19.48674863
2194,19.49573515
2195,19.36513951
2196,19.14206392
2197,18.87429176
2198,18.64733288
2199,18.62633609
2200,18.97787917
2201,19.72743507
2202,20.71252191
2203,21.69845209
2204,22.56453369
2205,23.36916382
2206,24.22112683
